lead_id,segment,channel,name,company,role,email_or_handle,city,notes,status,created_at,validated,source,last_update_at,last_note
L-B2B-001,B2B,email_or_dm,Name1,Company1,Owner/Manager,lead1@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-002,B2B,email_or_dm,Name2,Company2,Owner/Manager,lead2@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-003,B2B,email_or_dm,Name3,Company3,Owner/Manager,lead3@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-004,B2B,email_or_dm,Name4,Company4,Owner/Manager,lead4@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-005,B2B,email_or_dm,Name5,Company5,Owner/Manager,lead5@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-006,B2B,email_or_dm,Name6,Company6,Owner/Manager,lead6@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-007,B2B,email_or_dm,Name7,Company7,Owner/Manager,lead7@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-008,B2B,email_or_dm,Name8,Company8,Owner/Manager,lead8@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-009,B2B,email_or_dm,Name9,Company9,Owner/Manager,lead9@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-010,B2B,email_or_dm,Name10,Company10,Owner/Manager,lead10@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-011,B2B,email_or_dm,Name11,Company11,Owner/Manager,lead11@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-012,B2B,email_or_dm,Name12,Company12,Owner/Manager,lead12@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-013,B2B,email_or_dm,Name13,Company13,Owner/Manager,lead13@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-014,B2B,email_or_dm,Name14,Company14,Owner/Manager,lead14@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-015,B2B,email_or_dm,Name15,Company15,Owner/Manager,lead15@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-016,B2B,email_or_dm,Name16,Company16,Owner/Manager,lead16@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-017,B2B,email_or_dm,Name17,Company17,Owner/Manager,lead17@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-018,B2B,email_or_dm,Name18,Company18,Owner/Manager,lead18@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-019,B2B,email_or_dm,Name19,Company19,Owner/Manager,lead19@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-020,B2B,email_or_dm,Name20,Company20,Owner/Manager,lead20@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-021,B2B,email_or_dm,Name21,Company21,Owner/Manager,lead21@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-022,B2B,email_or_dm,Name22,Company22,Owner/Manager,lead22@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-023,B2B,email_or_dm,Name23,Company23,Owner/Manager,lead23@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-024,B2B,email_or_dm,Name24,Company24,Owner/Manager,lead24@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-B2B-025,B2B,email_or_dm,Name25,Company25,Owner/Manager,lead25@example.com,Miami,replace with real,new,2026-02-20T14:03:59,,,,
L-PLAT-001,PLATFORM,platform_dm,Client1,,Buyer,platform_profile_1,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-002,PLATFORM,platform_dm,Client2,,Buyer,platform_profile_2,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-003,PLATFORM,platform_dm,Client3,,Buyer,platform_profile_3,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-004,PLATFORM,platform_dm,Client4,,Buyer,platform_profile_4,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-005,PLATFORM,platform_dm,Client5,,Buyer,platform_profile_5,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-006,PLATFORM,platform_dm,Client6,,Buyer,platform_profile_6,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-007,PLATFORM,platform_dm,Client7,,Buyer,platform_profile_7,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-008,PLATFORM,platform_dm,Client8,,Buyer,platform_profile_8,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-009,PLATFORM,platform_dm,Client9,,Buyer,platform_profile_9,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-010,PLATFORM,platform_dm,Client10,,Buyer,platform_profile_10,,replace with real job post link,new,2026-02-20T14:03:59,,,,
L-PLAT-011,PLATFORM,platform_dm,Client11,,Buyer,platform_profile_11,,replace with real job post link,new,2026-02-20T14:03:59,,,,
